"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_100h"	"srv_097e"	89	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_097e"	89	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098f"	53	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_098f"	53	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098f"	53	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098f"	53	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098l"	28	"∂L*M"	500	6097.44	84.0054774433249	3.75683916091199	7.38117231665732
"srv_100h"	"srv_098l"	28	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098l"	28	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098l"	28	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098m"	24	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_098m"	24	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098m"	24	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098m"	24	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098s"	2	"∂L*M"	500	6085.03	53.5930361805907	2.39675344040813	4.70897192732072
"srv_100h"	"srv_098s"	2	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098s"	2	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098s"	2	"DL*M"	500	6076.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_100h"	"srv_098u"	0	"∂L*M"	500	6255.12	182.630153989676	8.16746878124338	16.0468659644833
"srv_100h"	"srv_098u"	0	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_100"	23	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_100"	23	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_100"	23	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_100"	23	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_100f"	2	"∂L*M"	500	6084.3	51.151176777974	2.28755016809317	4.49441704861148
"srv_100h"	"srv_100f"	2	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_100f"	2	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_100f"	2	"DL*M"	500	6076.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_100m"	"null"	0	"L*M"	73	4075	0	0	0
"srv_100m"	"srv_097"	139	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
