"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_100h"	"srv_097e"	7	"DL*M"	500	6925.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100h"	"srv_098f"	4	"∂L*M"	500	6655.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100h"	"srv_098f"	4	"Adp"	500	6745	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M+"	500	6991.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100h"	"srv_098f"	4	"DL*M"	500	6924.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100h"	"srv_098l"	2	"∂L*M"	500	6633.612	85.7893996843223	3.83661858886087	7.53791730354466
"srv_100h"	"srv_098l"	2	"Adp"	500	6672	0	0	0
"srv_100h"	"srv_098l"	2	"DL*M+"	500	6718.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_100h"	"srv_098l"	2	"DL*M"	500	6677.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_100h"	"srv_098m"	2	"∂L*M"	500	6612.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100h"	"srv_098m"	2	"Adp"	500	6672	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M+"	500	6672	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M"	500	6630	0	0	0
"srv_100h"	"srv_098s"	0	"∂L*M"	500	6619.854	55.1062435678601	2.46442613204791	4.84193045355264
"srv_100h"	"srv_098s"	0	"Adp"	500	6672	0	0	0
"srv_100h"	"srv_098s"	0	"DL*M+"	500	6672	0	0	0
"srv_100h"	"srv_098s"	0	"DL*M"	500	6631.71	9.73320968342319	0.435282369827869	0.855212065379587
"srv_100h"	"srv_098u"	0	"∂L*M"	500	6799.476	183.619666124234	8.21172110919205	16.1338098138236
"srv_100h"	"srv_098u"	0	"Adp"	500	6672	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	6672	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	6672	0	0	0
"srv_100h"	"srv_100"	1	"∂L*M"	500	6612.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_100h"	"srv_100"	1	"Adp"	500	6672	0	0	0
"srv_100h"	"srv_100"	1	"DL*M+"	500	6672	0	0	0
"srv_100h"	"srv_100"	1	"DL*M"	500	6630	0	0	0
"srv_100h"	"srv_100f"	0	"∂L*M"	500	6619.398	52.6382100599615	2.35405231815974	4.62507577741115
"srv_100h"	"srv_100f"	0	"Adp"	500	6672	0	0	0
"srv_100h"	"srv_100f"	0	"DL*M+"	500	6672	0	0	0
