"SUL"	"Reuse"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_098f"	"srv_101"	"DL*M+"	500	10047.88	60.4021725179631	2.7012672747767	5.30725920766701
"srv_098f"	"srv_101"	"DL*M"	500	10047.88	60.4021725179631	2.7012672747767	5.30725920766701
"srv_098f"	"srv_101"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_101h"	"∂L*M"	500	9740.58	15.0970009895262	0.675158409379244	1.3265035704799
"srv_098f"	"srv_101h"	"DL*M+"	500	9923.432	101.81688825272	4.55338966781165	8.94617850896921
"srv_098f"	"srv_101h"	"DL*M"	500	9849.678	37.682492705672	1.68521230503045	3.31098614574744
"srv_098f"	"srv_101h"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_101k"	"∂L*M"	500	9731.512	7.03568459465252	0.314645380437822	0.618193026684691
"srv_098f"	"srv_101k"	"DL*M+"	500	9917.732	102.514753696485	4.58459915923975	9.00749671405578
"srv_098f"	"srv_101k"	"DL*M"	500	9812.358	25.4846772305849	1.13970941344458	2.23922058177991
"srv_098f"	"srv_101k"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_102"	"∂L*M"	500	9734.544	7.16762259241197	0.320545827073929	0.629785807610605
"srv_098f"	"srv_102"	"DL*M+"	500	9765.658	5.52758032855038	0.247200907314586	0.48568288807979
"srv_098f"	"srv_102"	"DL*M"	500	9742.404	8.00831131389136	0.358142569656835	0.703653232768639
"srv_098f"	"srv_102"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_110pre1"	"∂L*M"	500	9775.652	5.83394942829159	0.26090214997912	0.512602122235856
"srv_098f"	"srv_110pre1"	"DL*M+"	500	9794.034	6.90102109722675	0.308623045751184	0.606360768723489
"srv_098f"	"srv_110pre1"	"DL*M"	500	9248.408	5.11290716122233	0.228656159502772	0.449247477005465
"srv_098f"	"srv_110pre1"	"Adp"	500	9820	0	0	0
"srv_098l"	"null"	"L*M"	73	6064	0	0	0
"srv_098l"	"srv_097"	"∂L*M"	500	6014.616	66.4526331223812	2.97185209890997	5.83888516439687
"srv_098l"	"srv_097"	"DL*M+"	500	6649.65	131.731293804984	5.89120255423883	11.5746188065748
"srv_098l"	"srv_097"	"DL*M"	500	6743.202	187.042077280345	8.36477598903243	16.4345212346801
"srv_098l"	"srv_097"	"Adp"	500	6131	0	0	0
