"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"cli_101h"	"Adp"	"cli_098j"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"∂L*M"	"cli_098j"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"Adp"	"cli_098l"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M"	"cli_098l"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M+"	"cli_098l"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"∂L*M"	"cli_098l"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"Adp"	"cli_098m"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M"	"cli_098m"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M+"	"cli_098m"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"∂L*M"	"cli_098m"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"Adp"	"cli_098za"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M"	"cli_098za"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M+"	"cli_098za"	0	456	456	1	"7"	"8"	"7"	"4"
